Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,239.309998,239.910004,234.289993,234.490005,234.490005,841500
2022-08-23,234.289993,235.500000,233.059998,234.000000,234.000000,864700
2022-08-24,234.860001,235.270004,232.850006,234.490005,234.490005,783800
2022-08-25,235.000000,238.149994,234.399994,238.009995,238.009995,551000
2022-08-26,239.100006,239.100006,232.360001,232.589996,232.589996,665400
2022-08-29,230.979996,234.960007,230.020004,233.699997,233.699997,680300
2022-08-30,233.960007,234.470001,230.460007,231.119995,231.119995,659100
2022-08-31,231.229996,232.679993,228.720001,228.929993,228.929993,1037800
2022-09-01,228.800003,228.889999,223.509995,225.369995,225.369995,1782300
2022-09-02,227.300003,229.619995,224.309998,224.880005,224.880005,930900
2022-09-06,225.139999,227.500000,223.660004,224.550003,224.550003,926400
2022-09-07,223.539993,227.869995,222.490005,227.740005,227.740005,660800
2022-09-08,226.669998,228.100006,225.559998,227.690002,227.690002,720800
2022-09-09,228.660004,232.360001,227.669998,231.610001,231.610001,994600
2022-09-12,232.160004,237.410004,230.929993,235.440002,235.440002,1559700
2022-09-13,232.080002,233.639999,227.059998,227.979996,227.979996,1367700
